2026-09-20 18:25:49 status unpacked dpkg:amd64 1.22.22
2026-09-20 18:25:49 status half-installed dpkg:amd64 1.22.22
2026-09-20 18:25:49 status unpacked dpkg:amd64 1.22.22
2026-09-20 18:25:49 install findutils:amd64 <none> 4.10.0-3
2026-09-20 18:25:49 status half-installed findutils:amd64 4.10.0-3
2026-09-20 18:25:49 status unpacked findutils:amd64 4.10.0-3
2026-09-20 18:25:49 install gcc-14-base:amd64 <none> 14.2.0-19
2026-09-20 18:25:49 status half-installed gcc-14-base:amd64 14.2.0-19
2026-09-20 18:25:49 status unpacked gcc-14-base:amd64 14.2.0-19
2026-09-20 18:25:49 install grep:amd64 <none> 3.11-4
2026-09-20 18:25:49 status half-installed grep:amd64 3.11-4
2026-09-20 18:25:49 status unpacked grep:amd64 3.11-4
2026-09-20 18:25:49 install gzip:amd64 <none> 1.13-1+deb13u1
2026-09-20 18:25:49 status half-installed gzip:amd64 1.13-1+deb13u1
2026-09-20 18:25:49 status unpacked gzip:amd64 1.13-1+deb13u1
2026-09-20 18:25:49 install hostname:amd64 <none> 3.25
2026-09-20 18:25:49 status half-installed hostname:amd64 3.25
2026-09-20 18:25:49 status unpacked hostname:amd64 3.25
2026-09-20 18:25:49 install init-system-helpers:all <none> 1.69~deb13u1
2026-09-20 18:25:49 status half-installed init-system-helpers:all 1.69~deb13u1
2026-09-20 18:25:49 status unpacked init-system-helpers:all 1.69~deb13u1
2026-09-20 18:25:50 install libacl1:amd64 <none> 2.3.2-2+b1
2026-09-20 18:25:50 status half-installed libacl1:amd64 2.3.2-2+b1
2026-09-20 18:25:50 status unpacked libacl1:amd64 2.3.2-2+b1
2026-09-20 18:25:50 install libapt-pkg7.0:amd64 <none> 3.0.3
2026-09-20 18:25:50 status half-installed libapt-pkg7.0:amd64 3.0.3
2026-09-20 18:25:50 status unpacked libapt-pkg7.0:amd64 3.0.3
2026-09-20 18:25:50 install libattr1:amd64 <none> 1:2.5.2-3
2026-09-20 18:25:50 status half-installed libattr1:amd64 1:2.5.2-3
2026-09-20 18:25:50 status unpacked libattr1:amd64 1:2.5.2-3
2026-09-20 18:25:50 install libaudit-common:all <none> 1:4.0.2-2+deb13u1
2026-09-20 18:25:50 status half-installed libaudit-common:all 1:4.0.2-2+deb13u1
2026-09-20 18:25:50 status unpacked libaudit-common:all 1:4.0.2-2+deb13u1
2026-09-20 18:25:50 install libaudit1:amd64 <none> 1:4.0.2-2+deb13u1
2026-09-20 18:25:50 status half-installed libaudit1:amd64 1:4.0.2-2+deb13u1
2026-09-20 18:25:50 status unpacked libaudit1:amd64 1:4.0.2-2+deb13u1
2026-09-20 18:25:50 install libblkid1:amd64 <none> 2.41.5-0+deb13u1
2026-09-20 18:25:50 status half-installed libblkid1:amd64 2.41.5-0+deb13u1
2026-09-20 18:25:50 status unpacked libblkid1:amd64 2.41.5-0+deb13u1
2026-09-20 18:25:50 install libbsd0:amd64 <none> 0.12.2-2
2026-09-20 18:25:50 status half-installed libbsd0:amd64 0.12.2-2
2026-09-20 18:25:50 status unpacked libbsd0:amd64 0.12.2-2
2026-09-20 18:25:50 install libbz2-1.0:amd64 <none> 1.0.8-6
2026-09-20 18:25:50 status half-installed libbz2-1.0:amd64 1.0.8-6
2026-09-20 18:25:50 status unpacked libbz2-1.0:amd64 1.0.8-6
2026-09-20 18:25:50 install libc-bin:amd64 <none> 2.41-12+deb13u4
2026-09-20 18:25:50 status half-installed libc-bin:amd64 2.41-12+deb13u4
2026-09-20 18:25:50 status unpacked libc-bin:amd64 2.41-12+deb13u4
2026-09-20 18:25:51 upgrade libc6:amd64 2.41-12+deb13u4 2.41-12+deb13u4
2026-09-20 18:25:51 status half-configured libc6:amd64 2.41-12+deb13u4
2026-09-20 18:25:51 status unpacked libc6:amd64 2.41-12+deb13u4
2026-09-20 18:25:51 status half-installed libc6:amd64 2.41-12+deb13u4
2026-09-20 18:25:51 status unpacked libc6:amd64 2.41-12+deb13u4
2026-09-20 18:25:51 install libcap-ng0:amd64 <none> 0.8.5-4+b1
2026-09-20 18:25:51 status half-installed libcap-ng0:amd64 0.8.5-4+b1
2026-09-20 18:25:51 status unpacked libcap-ng0:amd64 0.8.5-4+b1
2026-09-20 18:25:51 install libcap2:amd64 <none> 1:2.75-10+deb13u1+b3
2026-09-20 18:25:51 status half-installed libcap2:amd64 1:2.75-10+deb13u1+b3
2026-09-20 18:25:51 status unpacked libcap2:amd64 1:2.75-10+deb13u1+b3
2026-09-20 18:25:51 install libcrypt1:amd64 <none> 1:4.4.38-1
2026-09-20 18:25:51 status half-installed libcrypt1:amd64 1:4.4.38-1
2026-09-20 18:25:51 status unpacked libcrypt1:amd64 1:4.4.38-1
2026-09-20 18:25:51 install libdb5.3t64:amd64 <none> 5.3.28+dfsg2-9
2026-09-20 18:25:51 status half-installed libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-09-20 18:25:51 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-09-20 18:25:52 install libdebconfclient0:amd64 <none> 0.280
2026-09-20 18:25:52 status half-installed libdebconfclient0:amd64 0.280
2026-09-20 18:25:52 status unpacked libdebconfclient0:amd64 0.280
2026-09-20 18:25:52 install libgcc-s1:amd64 <none> 14.2.0-19
2026-09-20 18:25:52 status half-installed libgcc-s1:amd64 14.2.0-19
2026-09-20 18:25:52 status unpacked libgcc-s1:amd64 14.2.0-19
2026-09-20 18:25:52 install libgmp10:amd64 <none> 2:6.3.0+dfsg-3
2026-09-20 18:25:52 status half-installed libgmp10:amd64 2:6.3.0+dfsg-3
2026-09-20 18:25:52 status unpacked libgmp10:amd64 2:6.3.0+dfsg-3
2026-09-20 18:25:52 install libhogweed6t64:amd64 <none> 3.10.1-1
2026-09-20 18:25:52 status half-installed libhogweed6t64:amd64 3.10.1-1
2026-09-20 18:25:52 status unpacked libhogweed6t64:amd64 3.10.1-1
2026-09-20 18:25:52 install liblastlog2-2:amd64 <none> 2.41.5-0+deb13u1
2026-09-20 18:25:52 status half-installed liblastlog2-2:amd64 2.41.5-0+deb13u1
2026-09-20 18:25:52 status unpacked liblastlog2-2:amd64 2.41.5-0+deb13u1
2026-09-20 18:25:52 install liblz4-1:amd64 <none> 1.10.0-4
2026-09-20 18:25:52 status half-installed liblz4-1:amd64 1.10.0-4
2026-09-20 18:25:52 status unpacked liblz4-1:amd64 1.10.0-4
2026-09-20 18:25:52 install liblzma5:amd64 <none> 5.8.1-1+deb13u1
2026-09-20 18:25:52 status half-installed liblzma5:amd64 5.8.1-1+deb13u1
2026-09-20 18:25:52 status unpacked liblzma5:amd64 5.8.1-1+deb13u1
2026-09-20 18:25:52 install libmd0:amd64 <none> 1.1.0-2+b1
2026-09-20 18:25:52 status half-installed libmd0:amd64 1.1.0-2+b1
2026-09-20 18:25:52 status unpacked libmd0:amd64 1.1.0-2+b1
2026-09-20 18:25:52 install libmount1:amd64 <none> 2.41.5-0+deb13u1
2026-09-20 18:25:52 status half-installed libmount1:amd64 2.41.5-0+deb13u1
2026-09-20 18:25:52 status unpacked libmount1:amd64 2.41.5-0+deb13u1
2026-09-20 18:25:52 install libnettle8t64:amd64 <none> 3.10.1-1
2026-09-20 18:25:52 status half-installed libnettle8t64:amd64 3.10.1-1
2026-09-20 18:25:52 status unpacked libnettle8t64:amd64 3.10.1-1
2026-09-20 18:25:53 install libpam-modules:amd64 <none> 1.7.0-5
2026-09-20 18:25:53 status half-installed libpam-modules:amd64 1.7.0-5
2026-09-20 18:25:53 status unpacked libpam-modules:amd64 1.7.0-5
2026-09-20 18:25:53 install libpam-modules-bin:amd64 <none> 1.7.0-5
2026-09-20 18:25:53 status half-installed libpam-modules-bin:amd64 1.7.0-5
2026-09-20 18:25:53 status unpacked libpam-modules-bin:amd64 1.7.0-5
2026-09-20 18:25:53 install libpam-runtime:all <none> 1.7.0-5
2026-09-20 18:25:53 status half-installed libpam-runtime:all 1.7.0-5
2026-09-20 18:25:53 status unpacked libpam-runtime:all 1.7.0-5
2026-09-20 18:25:53 install libpam0g:amd64 <none> 1.7.0-5
2026-09-20 18:25:53 status half-installed libpam0g:amd64 1.7.0-5
2026-09-20 18:25:53 status unpacked libpam0g:amd64 1.7.0-5
2026-09-20 18:25:53 install libpcre2-8-0:amd64 <none> 10.46-1~deb13u2
2026-09-20 18:25:53 status half-installed libpcre2-8-0:amd64 10.46-1~deb13u2
2026-09-20 18:25:53 status unpacked libpcre2-8-0:amd64 10.46-1~deb13u2
2026-09-20 18:25:53 install libseccomp2:amd64 <none> 2.6.0-2
2026-09-20 18:25:53 status half-installed libseccomp2:amd64 2.6.0-2
2026-09-20 18:25:53 status unpacked libseccomp2:amd64 2.6.0-2
2026-09-20 18:25:53 install libselinux1:amd64 <none> 3.8.1-1
2026-09-20 18:25:53 status half-installed libselinux1:amd64 3.8.1-1
2026-09-20 18:25:53 status unpacked libselinux1:amd64 3.8.1-1
2026-09-20 18:25:53 install libsemanage-common:all <none> 3.8.1-1
2026-09-20 18:25:53 status half-installed libsemanage-common:all 3.8.1-1
2026-09-20 18:25:54 status unpacked libsemanage-common:all 3.8.1-1
2026-09-20 18:25:54 install libsemanage2:amd64 <none> 3.8.1-1
2026-09-20 18:25:54 status half-installed libsemanage2:amd64 3.8.1-1
2026-09-20 18:25:54 status unpacked libsemanage2:amd64 3.8.1-1
2026-09-20 18:25:54 install libsepol2:amd64 <none> 3.8.1-1
2026-09-20 18:25:54 status half-installed libsepol2:amd64 3.8.1-1
2026-09-20 18:25:54 status unpacked libsepol2:amd64 3.8.1-1
2026-09-20 18:25:54 install libsmartcols1:amd64 <none> 2.41.5-0+deb13u1
2026-09-20 18:25:54 status half-installed libsmartcols1:amd64 2.41.5-0+deb13u1
2026-09-20 18:25:54 status unpacked libsmartcols1:amd64 2.41.5-0+deb13u1
2026-09-20 18:25:55 install libsqlite3-0:amd64 <none> 3.46.1-7+deb13u2
2026-09-20 18:25:55 status half-installed libsqlite3-0:amd64 3.46.1-7+deb13u2
2026-09-20 18:25:55 status unpacked libsqlite3-0:amd64 3.46.1-7+deb13u2
2026-09-20 18:25:55 install libssl3t64:amd64 <none> 3.5.7-1~deb13u2
2026-09-20 18:25:55 status half-installed libssl3t64:amd64 3.5.7-1~deb13u2
2026-09-20 18:25:55 status unpacked libssl3t64:amd64 3.5.7-1~deb13u2
2026-09-20 18:25:56 install libstdc++6:amd64 <none> 14.2.0-19
2026-09-20 18:25:56 status half-installed libstdc++6:amd64 14.2.0-19
2026-09-20 18:25:56 status unpacked libstdc++6:amd64 14.2.0-19
2026-09-20 18:25:56 install libsystemd0:amd64 <none> 257.13-1~deb13u1
2026-09-20 18:25:56 status half-installed libsystemd0:amd64 257.13-1~deb13u1
2026-09-20 18:25:56 status unpacked libsystemd0:amd64 257.13-1~deb13u1
2026-09-20 18:25:56 install libtinfo6:amd64 <none> 6.5+20250216-2
2026-09-20 18:25:56 status half-installed libtinfo6:amd64 6.5+20250216-2
2026-09-20 18:25:57 status unpacked libtinfo6:amd64 6.5+20250216-2
2026-09-20 18:25:57 install libudev1:amd64 <none> 257.13-1~deb13u1
2026-09-20 18:25:57 status half-installed libudev1:amd64 257.13-1~deb13u1
2026-09-20 18:25:57 status unpacked libudev1:amd64 257.13-1~deb13u1
2026-09-20 18:25:57 install libuuid1:amd64 <none> 2.41.5-0+deb13u1
2026-09-20 18:25:57 status half-installed libuuid1:amd64 2.41.5-0+deb13u1
2026-09-20 18:25:57 status unpacked libuuid1:amd64 2.41.5-0+deb13u1
2026-09-20 18:25:57 install libxxhash0:amd64 <none> 0.8.3-2
2026-09-20 18:25:57 status half-installed libxxhash0:amd64 0.8.3-2
2026-09-20 18:25:57 status unpacked libxxhash0:amd64 0.8.3-2
2026-09-20 18:25:57 install libzstd1:amd64 <none> 1.5.7+dfsg-1
2026-09-20 18:25:57 status half-installed libzstd1:amd64 1.5.7+dfsg-1
2026-09-20 18:25:57 status unpacked libzstd1:amd64 1.5.7+dfsg-1
2026-09-20 18:25:58 install login:amd64 <none> 1:4.16.0-2+really2.41.5-0+deb13u1
2026-09-20 18:25:58 status half-installed login:amd64 1:4.16.0-2+really2.41.5-0+deb13u1
2026-09-20 18:25:58 status unpacked login:amd64 1:4.16.0-2+really2.41.5-0+deb13u1
2026-09-20 18:25:58 install login.defs:all <none> 1:4.17.4-2
2026-09-20 18:25:58 status half-installed login.defs:all 1:4.17.4-2
2026-09-20 18:25:58 status unpacked login.defs:all 1:4.17.4-2
2026-09-20 18:25:58 upgrade mawk:amd64 1.3.4.20250131-1 1.3.4.20250131-1
2026-09-20 18:25:58 status half-configured mawk:amd64 1.3.4.20250131-1
2026-09-20 18:25:58 status unpacked mawk:amd64 1.3.4.20250131-1
2026-09-20 18:25:58 status half-installed mawk:amd64 1.3.4.20250131-1
2026-09-20 18:25:58 status unpacked mawk:amd64 1.3.4.20250131-1
2026-09-20 18:25:58 install mount:amd64 <none> 2.41.5-0+deb13u1
2026-09-20 18:25:58 status half-installed mount:amd64 2.41.5-0+deb13u1
2026-09-20 18:25:58 status unpacked mount:amd64 2.41.5-0+deb13u1
2026-09-20 18:25:59 install ncurses-base:all <none> 6.5+20250216-2
2026-09-20 18:25:59 status half-installed ncurses-base:all 6.5+20250216-2
2026-09-20 18:25:59 status unpacked ncurses-base:all 6.5+20250216-2
2026-09-20 18:25:59 install ncurses-bin:amd64 <none> 6.5+20250216-2
2026-09-20 18:25:59 status half-installed ncurses-bin:amd64 6.5+20250216-2
2026-09-20 18:25:59 status unpacked ncurses-bin:amd64 6.5+20250216-2
2026-09-20 18:25:59 install openssl-provider-legacy:amd64 <none> 3.5.7-1~deb13u2
2026-09-20 18:25:59 status half-installed openssl-provider-legacy:amd64 3.5.7-1~deb13u2
2026-09-20 18:25:59 status unpacked openssl-provider-legacy:amd64 3.5.7-1~deb13u2
2026-09-20 18:25:59 install passwd:amd64 <none> 1:4.17.4-2
2026-09-20 18:25:59 status half-installed passwd:amd64 1:4.17.4-2
2026-09-20 18:25:59 status unpacked passwd:amd64 1:4.17.4-2
2026-09-20 18:26:00 upgrade perl-base:amd64 5.40.1-6+deb13u1 5.40.1-6+deb13u1
2026-09-20 18:26:00 status half-configured perl-base:amd64 5.40.1-6+deb13u1
2026-09-20 18:26:00 status unpacked perl-base:amd64 5.40.1-6+deb13u1
2026-09-20 18:26:00 status half-installed perl-base:amd64 5.40.1-6+deb13u1
2026-09-20 18:26:00 status unpacked perl-base:amd64 5.40.1-6+deb13u1
2026-09-20 18:26:00 install sed:amd64 <none> 4.9-2+deb13u1
2026-09-20 18:26:00 status half-installed sed:amd64 4.9-2+deb13u1
2026-09-20 18:26:00 status unpacked sed:amd64 4.9-2+deb13u1
2026-09-20 18:26:00 install sqv:amd64 <none> 1.3.0-3+b2
2026-09-20 18:26:00 status half-installed sqv:amd64 1.3.0-3+b2
2026-09-20 18:26:01 status unpacked sqv:amd64 1.3.0-3+b2
2026-09-20 18:26:01 install sysvinit-utils:amd64 <none> 3.14-4
2026-09-20 18:26:01 status half-installed sysvinit-utils:amd64 3.14-4
2026-09-20 18:26:01 status unpacked sysvinit-utils:amd64 3.14-4
2026-09-20 18:26:01 install tar:amd64 <none> 1.35+dfsg-3.1
2026-09-20 18:26:01 status half-installed tar:amd64 1.35+dfsg-3.1
2026-09-20 18:26:01 status unpacked tar:amd64 1.35+dfsg-3.1
2026-09-20 18:26:01 install tzdata:all <none> 2026c-0+deb13u1
2026-09-20 18:26:01 status half-installed tzdata:all 2026c-0+deb13u1
2026-09-20 18:26:01 status unpacked tzdata:all 2026c-0+deb13u1
2026-09-20 18:26:02 install util-linux:amd64 <none> 2.41.5-0+deb13u1
2026-09-20 18:26:02 status half-installed util-linux:amd64 2.41.5-0+deb13u1
2026-09-20 18:26:02 status unpacked util-linux:amd64 2.41.5-0+deb13u1
2026-09-20 18:26:02 install zlib1g:amd64 <none> 1:1.3.dfsg+really1.3.1-1+b1
2026-09-20 18:26:02 status half-installed zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2026-09-20 18:26:02 status unpacked zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2026-09-20 18:26:02 startup packages configure
2026-09-20 18:26:02 configure gcc-14-base:amd64 14.2.0-19 <none>
2026-09-20 18:26:02 status unpacked gcc-14-base:amd64 14.2.0-19
2026-09-20 18:26:02 status half-configured gcc-14-base:amd64 14.2.0-19
2026-09-20 18:26:02 status installed gcc-14-base:amd64 14.2.0-19
2026-09-20 18:26:02 configure login.defs:all 1:4.17.4-2 <none>
2026-09-20 18:26:02 status unpacked login.defs:all 1:4.17.4-2
2026-09-20 18:26:02 status half-configured login.defs:all 1:4.17.4-2
2026-09-20 18:26:02 status installed login.defs:all 1:4.17.4-2
2026-09-20 18:26:02 configure debian-archive-keyring:all 2025.1 <none>
2026-09-20 18:26:02 status unpacked debian-archive-keyring:all 2025.1
2026-09-20 18:26:03 status half-configured debian-archive-keyring:all 2025.1
2026-09-20 18:26:03 status installed debian-archive-keyring:all 2025.1
2026-09-20 18:26:03 configure libaudit-common:all 1:4.0.2-2+deb13u1 <none>
2026-09-20 18:26:03 status unpacked libaudit-common:all 1:4.0.2-2+deb13u1
2026-09-20 18:26:03 status half-configured libaudit-common:all 1:4.0.2-2+deb13u1
2026-09-20 18:26:03 status installed libaudit-common:all 1:4.0.2-2+deb13u1
2026-09-20 18:26:03 configure libsemanage-common:all 3.8.1-1 <none>
2026-09-20 18:26:03 status unpacked libsemanage-common:all 3.8.1-1
2026-09-20 18:26:03 status half-configured libsemanage-common:all 3.8.1-1
2026-09-20 18:26:03 status installed libsemanage-common:all 3.8.1-1
2026-09-20 18:26:03 configure debconf:all 1.5.91 <none>
2026-09-20 18:26:03 status unpacked debconf:all 1.5.91
2026-09-20 18:26:03 status half-configured debconf:all 1.5.91
2026-09-20 18:26:04 status installed debconf:all 1.5.91
2026-09-20 18:26:04 configure tzdata:all 2026c-0+deb13u1 <none>
2026-09-20 18:26:04 status unpacked tzdata:all 2026c-0+deb13u1
2026-09-20 18:26:04 status half-configured tzdata:all 2026c-0+deb13u1
2026-09-20 18:26:04 status installed tzdata:all 2026c-0+deb13u1
2026-09-20 18:26:04 configure ncurses-base:all 6.5+20250216-2 <none>
2026-09-20 18:26:04 status unpacked ncurses-base:all 6.5+20250216-2
2026-09-20 18:26:04 status half-configured ncurses-base:all 6.5+20250216-2
2026-09-20 18:26:04 status installed ncurses-base:all 6.5+20250216-2
2026-09-20 18:26:04 configure init-system-helpers:all 1.69~deb13u1 <none>
2026-09-20 18:26:04 status unpacked init-system-helpers:all 1.69~deb13u1
2026-09-20 18:26:04 status half-configured init-system-helpers:all 1.69~deb13u1
2026-09-20 18:26:04 status installed init-system-helpers:all 1.69~deb13u1
